date,avg_head_m
1920,100.0
1921,100.0
1922,100.0
1923,100.0
1924,100.0
1925,100.0
1926,100.0
1927,100.0
1928,82.0168
1929,100.0
1930,81.54436
1931,76.49992
1932,78.664
1933,79.76128
1934,54.92008
1935,54.08188
1936,75.52456000000001
1937,71.3488
1938,75.89032
1939,82.87024
1940,79.48696
1941,78.2068
1942,75.49408
1943,75.4636
1944,72.6442
1945,70.8154
1946,72.73563999999999
1947,71.22688
1948,73.33
1949,65.40520000000001
1950,62.93632
1951,60.924640000000004
1952,60.80272
1953,60.848440000000004
1954,60.177879999999995
1955,59.52255999999999
1956,60.26931999999999
1957,59.415879999999994
1958,61.53424
1959,63.33256
1960,61.2142
1961,62.3572
1962,60.74175999999999
1963,60.9856
1964,60.711279999999995
1965,61.473279999999995
1966,61.53424
1967,60.0712
1968,61.88476
1969,59.614
1970,73.29952
1971,71.86696
1972,67.41687999999999
1973,68.11792
1974,72.32416
1975,70.4344
1976,68.59036
1977,65.25280000000001
1978,62.8144
1979,68.3008
1980,70.23628
1981,71.044
1982,69.6724
1983,73.46716
1984,79.8832
1985,79.8832
1986,78.0544
1987,80.00512
1988,78.664
1989,74.3968
1990,69.8248
1991,64.38412
1992,61.2904
1993,59.9188
1994,62.2048
1995,61.2904
1996,65.78620000000001
1997,67.5388
1998,69.52
1999,73.2538
2000,71.044
2001,70.40392
2002,62.9668
2003,64.33840000000001
2004,58.5472
2005,60.376
2006,65.40520000000001
2007,59.873079999999995
2008,54.92008
2009,58.471
2010,55.956399999999995
2011,60.0712
2012,44.84644
2013,52.9846
2014,34.0108
2015,32.4106
2016,32.7916
2017,25.080159999999992
2018,31.2676
2019,33.66028
2020,20.858680000000007
2021,17.460159999999988
2022,13.462860399999997
